file_path,depth,file_name,file_ext,width,height,aspect_ratio,megapixels,orientation,class,species,phash
Classes/conditionally_edible/horn_of_plenty/7.png,3,7,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,bf8991d1c7d2a4c8
Classes/conditionally_edible/horn_of_plenty/2.png,3,2,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,ec81ff89f488331c
Classes/conditionally_edible/horn_of_plenty/8.png,3,8,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,abb9d4a0aae5c4d4
Classes/conditionally_edible/horn_of_plenty/1.png,3,1,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,aaa2b3dc4141bdba
Classes/conditionally_edible/horn_of_plenty/11.png,3,11,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,a0b2cf41e0afde0e
Classes/conditionally_edible/horn_of_plenty/5.png,3,5,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,a693018e7926aeee
Classes/conditionally_edible/horn_of_plenty/3.png,3,3,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,fcd8800b9d093ef9
Classes/conditionally_edible/horn_of_plenty/14.png,3,14,png,512,512,1.0,0.262144,square,conditionally_edible,Horn Of Plenty,d8f40799f31ea870
Classes/conditionally_edible/grisettes/7.png,3,7,png,512,512,1.0,0.262144,square,conditionally_edible,Grisettes,93cb689a65ec660d
Classes/conditionally_edible/grisettes/2.png,3,2,png,512,512,1.0,0.262144,square,conditionally_edible,Grisettes,d1a63bcd394531ac
Classes/conditionally_edible/grisettes/8.png,3,8,png,512,512,1.0,0.262144,square,conditionally_edible,Grisettes,e1f6e8c792390696
Classes/conditionally_edible/grisettes/1.png,3,1,png,512,512,1.0,0.262144,square,conditionally_edible,Grisettes,dc872da4e546479a
Classes/conditionally_edible/grisettes/11.png,3,11,png,512,512,1.0,0.262144,square,conditionally_edible,Grisettes,f5f4f4da584a0a29
Classes/conditionally_edible/grisettes/5.png,3,5,png,512,512,1.0,0.262144,square,conditionally_edible,Grisettes,998ea36979a89635
Classes/conditionally_edible/funeral_bell/7.png,3,7,png,512,512,1.0,0.262144,square,conditionally_edible,Funeral Bell,adce6131268fed84
