file_path,depth,file_name,file_ext,width,height,num_pixels,phash,aspect_ratio,class,species
Classes/conditionally_edible/Mushrooms/Boletus/0051_rBIC-Uy9KzI.jpg,4,0051_rBIC-Uy9KzI,jpg,800,600,480000,8000000000000000,1.3333333333333333,conditionally_edible,Boletus
Classes/conditionally_edible/Mushrooms/Russula/191_hKfKe20-BBs.jpg,4,191_hKfKe20-BBs,jpg,800,582,465600,80003f3f6c2bbf1e,1.3745704467353952,conditionally_edible,Russula
Classes/poisonous/Xanthoria parietina/39168medium.jpg,3,39168medium,jpg,362,500,181000,80010e0f5ffefcd8,0.724,poisonous,Xanthoria parietina
Classes/conditionally_edible/Rhytisma acerinum/25746medium.jpeg,3,25746medium,jpeg,500,484,242000,80031f384ffb6739,1.033057851239669,conditionally_edible,Rhytisma acerinum
Classes/poisonous/Xanthoria parietina/42455medium.jpg,3,42455medium,jpg,375,500,187500,80037caf3cf62a7c,0.75,poisonous,Xanthoria parietina
Classes/conditionally_edible/Mushrooms/Agaricus/414__-i1VhmdbOw.jpg,4,414__-i1VhmdbOw,jpg,800,536,428800,80073fbcb85e38b9,1.492537313432836,conditionally_edible,Agaricus
Classes/conditionally_edible/medusa_mushroom/9.png,3,9,png,512,512,262144,80075f7a748f49b3,1.0,conditionally_edible,medusa_mushroom
Classes/edible/Merulius tremellosus/18294medium.jpg,3,18294medium,jpg,500,375,187500,80091ff83cdb38db,1.3333333333333333,edible,Merulius tremellosus
Classes/conditionally_edible/Cladonia rangiferina/5646medium.jpg,3,5646medium,jpg,400,500,200000,800b3ef5e4133bd6,0.8,conditionally_edible,Cladonia rangiferina
Classes/conditionally_edible/Fomitopsis pinicola/23758medium.jpeg,3,23758medium,jpeg,500,374,187000,800be70d8fb465cf,1.3368983957219251,conditionally_edible,Fomitopsis pinicola
Classes/conditionally_edible/Mushrooms/Russula/026_B-JruZ9eQ2c.jpg,4,026_B-JruZ9eQ2c,jpg,800,600,480000,800d3bf23e39cd93,1.3333333333333333,conditionally_edible,Russula
