file_path,depth,file_name,file_ext,width,height,aspect_ratio,class,species
Classes/conditionally_edible/horn_of_plenty/8.png,3,8,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/9.png,3,9,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/14.png,3,14,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/12.png,3,12,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/13.png,3,13,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/11.png,3,11,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/10.png,3,10,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/4.png,3,4,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/5.png,3,5,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/7.png,3,7,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/6.png,3,6,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/2.png,3,2,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/3.png,3,3,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/1.png,3,1,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/horn_of_plenty/0.png,3,0,png,512,512,1.0,conditionally_edible,horn_of_plenty
Classes/conditionally_edible/grisettes/8.png,3,8,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/9.png,3,9,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/14.png,3,14,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/12.png,3,12,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/13.png,3,13,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/11.png,3,11,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/10.png,3,10,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/4.png,3,4,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/5.png,3,5,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/7.png,3,7,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/6.png,3,6,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/2.png,3,2,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/3.png,3,3,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/1.png,3,1,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/grisettes/0.png,3,0,png,512,512,1.0,conditionally_edible,grisettes
Classes/conditionally_edible/funeral_bell/8.png,3,8,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/9.png,3,9,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/14.png,3,14,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/12.png,3,12,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/13.png,3,13,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/11.png,3,11,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/10.png,3,10,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/4.png,3,4,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/5.png,3,5,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/7.png,3,7,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/6.png,3,6,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/2.png,3,2,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/3.png,3,3,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/1.png,3,1,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/funeral_bell/0.png,3,0,png,512,512,1.0,conditionally_edible,funeral_bell
Classes/conditionally_edible/macro_mushroom/8.png,3,8,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/9.png,3,9,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/14.png,3,14,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/12.png,3,12,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/13.png,3,13,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/11.png,3,11,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/10.png,3,10,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/4.png,3,4,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/5.png,3,5,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/7.png,3,7,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/6.png,3,6,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/2.png,3,2,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/3.png,3,3,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/1.png,3,1,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/macro_mushroom/0.png,3,0,png,512,512,1.0,conditionally_edible,macro_mushroom
Classes/conditionally_edible/orange_grisette/8.png,3,8,png,512,512,1.0,conditionally_edible,orange_grisette
Classes/conditionally_edible/orange_grisette/9.png,3,9,png,512,512,1.0,conditionally_edible,orange_grisette
